section,sample_id,candidate,label,state,status,source_artifact,embedded_pdf,embedded_pages,report_page
dataset-expansion stress test,pubmed_table_005,tylax,Tylax - deterministic engine,not_run,not evaluated on expansion set,,,0,17
dataset-expansion stress test,pubmed_table_005,typetex,TypeTeX - deterministic engine,not_run,not evaluated on expansion set,,,0,17
dataset-expansion stress test,pubmed_table_005,scope,Scope and comparability,info,"DATASET-EXPANSION STRESS TEST

This PR evaluated Claude Sonnet one-turn and Claude Opus agentic v3 only. The empty Gemini and engine cells are intentional coverage gaps. References were compiled with Tectonic, so these pages are not pooled with pdfLaTeX benchmark scores.",,,0,17
archived provisional benchmark,algorithms_easy,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/08_algorithms/easy.pdf,archive/data/reference_pdfs/08_algorithms/easy.pdf,1,19
archived provisional benchmark,algorithms_easy,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/algorithms_easy/gemini/output.pdf,archive/ai_models/algorithms_easy/gemini/output.pdf,1,19
archived provisional benchmark,algorithms_easy,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/algorithms_easy/claude/output.pdf,archive/ai_models/algorithms_easy/claude/output.pdf,1,19
archived provisional benchmark,algorithms_easy,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,failed,compile failed or artifact missing in archived run,archive/ai_models/algorithms_easy/gpt/output.pdf,,0,19
archived provisional benchmark,algorithms_easy,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/easy/pandoc.pdf,archive/results/08_algorithms/easy/pandoc.pdf,1,19
archived provisional benchmark,algorithms_easy,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/easy/tylax.pdf,archive/results/08_algorithms/easy/tylax.pdf,1,19
archived provisional benchmark,algorithms_easy,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/easy/typetex_approx.pdf,archive/results/08_algorithms/easy/typetex_approx.pdf,1,19
archived provisional benchmark,algorithms_easy,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,19
archived provisional benchmark,algorithms_medium,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/08_algorithms/medium.pdf,archive/data/reference_pdfs/08_algorithms/medium.pdf,1,20
archived provisional benchmark,algorithms_medium,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/algorithms_medium/gemini/output.pdf,archive/ai_models/algorithms_medium/gemini/output.pdf,1,20
archived provisional benchmark,algorithms_medium,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/algorithms_medium/claude/output.pdf,archive/ai_models/algorithms_medium/claude/output.pdf,1,20
archived provisional benchmark,algorithms_medium,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/algorithms_medium/gpt/output.pdf,archive/ai_models/algorithms_medium/gpt/output.pdf,1,20
archived provisional benchmark,algorithms_medium,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/medium/pandoc.pdf,archive/results/08_algorithms/medium/pandoc.pdf,1,20
archived provisional benchmark,algorithms_medium,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/medium/tylax.pdf,archive/results/08_algorithms/medium/tylax.pdf,1,20
archived provisional benchmark,algorithms_medium,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/08_algorithms/medium/typetex_approx.pdf,archive/results/08_algorithms/medium/typetex_approx.pdf,1,20
archived provisional benchmark,algorithms_medium,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,20
archived provisional benchmark,eq_hard_hard,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/03_eq_hard/hard.pdf,archive/data/reference_pdfs/03_eq_hard/hard.pdf,1,21
archived provisional benchmark,eq_hard_hard,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_hard_hard/gemini/output.pdf,archive/ai_models/eq_hard_hard/gemini/output.pdf,1,21
archived provisional benchmark,eq_hard_hard,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_hard_hard/claude/output.pdf,archive/ai_models/eq_hard_hard/claude/output.pdf,1,21
archived provisional benchmark,eq_hard_hard,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_hard_hard/gpt/output.pdf,archive/ai_models/eq_hard_hard/gpt/output.pdf,1,21
archived provisional benchmark,eq_hard_hard,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/03_eq_hard/hard/pandoc.pdf,archive/results/03_eq_hard/hard/pandoc.pdf,1,21
archived provisional benchmark,eq_hard_hard,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/03_eq_hard/hard/tylax.pdf,archive/results/03_eq_hard/hard/tylax.pdf,1,21
archived provisional benchmark,eq_hard_hard,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/03_eq_hard/hard/typetex_approx.pdf,archive/results/03_eq_hard/hard/typetex_approx.pdf,1,21
archived provisional benchmark,eq_hard_hard,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,21
archived provisional benchmark,eq_simple_hard,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/02_eq_simple/hard.pdf,archive/data/reference_pdfs/02_eq_simple/hard.pdf,1,22
archived provisional benchmark,eq_simple_hard,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_simple_hard/gemini/output.pdf,archive/ai_models/eq_simple_hard/gemini/output.pdf,1,22
archived provisional benchmark,eq_simple_hard,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_simple_hard/claude/output.pdf,archive/ai_models/eq_simple_hard/claude/output.pdf,1,22
archived provisional benchmark,eq_simple_hard,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/eq_simple_hard/gpt/output.pdf,archive/ai_models/eq_simple_hard/gpt/output.pdf,1,22
archived provisional benchmark,eq_simple_hard,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/02_eq_simple/hard/pandoc.pdf,archive/results/02_eq_simple/hard/pandoc.pdf,1,22
archived provisional benchmark,eq_simple_hard,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/02_eq_simple/hard/tylax.pdf,archive/results/02_eq_simple/hard/tylax.pdf,1,22
archived provisional benchmark,eq_simple_hard,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/02_eq_simple/hard/typetex_approx.pdf,archive/results/02_eq_simple/hard/typetex_approx.pdf,1,22
archived provisional benchmark,eq_simple_hard,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,22
archived provisional benchmark,prose_easy,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/01_prose/easy.pdf,archive/data/reference_pdfs/01_prose/easy.pdf,1,23
archived provisional benchmark,prose_easy,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/prose_easy/gemini/output.pdf,archive/ai_models/prose_easy/gemini/output.pdf,1,23
archived provisional benchmark,prose_easy,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/prose_easy/claude/output.pdf,archive/ai_models/prose_easy/claude/output.pdf,1,23
archived provisional benchmark,prose_easy,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/prose_easy/gpt/output.pdf,archive/ai_models/prose_easy/gpt/output.pdf,1,23
archived provisional benchmark,prose_easy,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/01_prose/easy/pandoc.pdf,archive/results/01_prose/easy/pandoc.pdf,1,23
archived provisional benchmark,prose_easy,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/01_prose/easy/tylax.pdf,archive/results/01_prose/easy/tylax.pdf,1,23
archived provisional benchmark,prose_easy,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/01_prose/easy/typetex_approx.pdf,archive/results/01_prose/easy/typetex_approx.pdf,1,23
archived provisional benchmark,prose_easy,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,23
archived provisional benchmark,prose_hard,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/01_prose/hard.pdf,archive/data/reference_pdfs/01_prose/hard.pdf,1,24
archived provisional benchmark,prose_hard,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/prose_hard/gemini/output.pdf,archive/ai_models/prose_hard/gemini/output.pdf,1,24
archived provisional benchmark,prose_hard,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/prose_hard/claude/output.pdf,archive/ai_models/prose_hard/claude/output.pdf,1,24
archived provisional benchmark,prose_hard,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,failed,compile failed or artifact missing in archived run,archive/ai_models/prose_hard/gpt/output.pdf,,0,24
archived provisional benchmark,prose_hard,pandoc,Pandoc - archived deterministic engine,failed,compile failed or artifact missing in archived run,archive/results/01_prose/hard/pandoc.pdf,,0,24
archived provisional benchmark,prose_hard,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/01_prose/hard/tylax.pdf,archive/results/01_prose/hard/tylax.pdf,1,24
archived provisional benchmark,prose_hard,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/01_prose/hard/typetex_approx.pdf,archive/results/01_prose/hard/typetex_approx.pdf,1,24
archived provisional benchmark,prose_hard,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,24
archived provisional benchmark,tables_complex_easy,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/07_tables_complex/easy.pdf,archive/data/reference_pdfs/07_tables_complex/easy.pdf,1,25
archived provisional benchmark,tables_complex_easy,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_easy/gemini/output.pdf,archive/ai_models/tables_complex_easy/gemini/output.pdf,1,25
archived provisional benchmark,tables_complex_easy,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_easy/claude/output.pdf,archive/ai_models/tables_complex_easy/claude/output.pdf,1,25
archived provisional benchmark,tables_complex_easy,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_easy/gpt/output.pdf,archive/ai_models/tables_complex_easy/gpt/output.pdf,1,25
archived provisional benchmark,tables_complex_easy,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/easy/pandoc.pdf,archive/results/07_tables_complex/easy/pandoc.pdf,1,25
archived provisional benchmark,tables_complex_easy,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/easy/tylax.pdf,archive/results/07_tables_complex/easy/tylax.pdf,1,25
archived provisional benchmark,tables_complex_easy,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/easy/typetex_approx.pdf,archive/results/07_tables_complex/easy/typetex_approx.pdf,1,25
archived provisional benchmark,tables_complex_easy,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,25
archived provisional benchmark,tables_complex_hard,reference,Reference - pdfLaTeX,ok,archived provisional reference,archive/data/reference_pdfs/07_tables_complex/hard.pdf,archive/data/reference_pdfs/07_tables_complex/hard.pdf,1,26
archived provisional benchmark,tables_complex_hard,gemini_legacy,Gemini - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_hard/gemini/output.pdf,archive/ai_models/tables_complex_hard/gemini/output.pdf,1,26
archived provisional benchmark,tables_complex_hard,claude_legacy,Claude - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_hard/claude/output.pdf,archive/ai_models/tables_complex_hard/claude/output.pdf,1,26
archived provisional benchmark,tables_complex_hard,gpt_legacy,OpenAI GPT - legacy manual run; version unrecorded,ok,archived exploratory output,archive/ai_models/tables_complex_hard/gpt/output.pdf,archive/ai_models/tables_complex_hard/gpt/output.pdf,2,26
archived provisional benchmark,tables_complex_hard,pandoc,Pandoc - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/hard/pandoc.pdf,archive/results/07_tables_complex/hard/pandoc.pdf,1,26
archived provisional benchmark,tables_complex_hard,tylax,Tylax - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/hard/tylax.pdf,archive/results/07_tables_complex/hard/tylax.pdf,1,26
archived provisional benchmark,tables_complex_hard,typetex,TypeTeX - archived deterministic engine,ok,archived as-tested output,archive/results/07_tables_complex/hard/typetex_approx.pdf,archive/results/07_tables_complex/hard/typetex_approx.pdf,1,26
archived provisional benchmark,tables_complex_hard,scope,Scope and comparability,info,"ARCHIVED PROVISIONAL BENCHMARK

These outputs predate latex_benchmark_v0. Model versions and prompting were not recorded consistently, and the old 15-category corpus is no longer canonical. This appendix is visual provenance only and must not be compared numerically with the current benchmark or dataset-expansion sections.",,,0,26
