audit_case_id,blind_index,content_issue,layout_issue,typography_issue,pagination_issue,specialized_issue,severity_summary,confidence,review_notes,reviewer
AI136,136,moderate,minor,minor,none,moderate,Citation identifiers and cross-reference wording diverge from the reference.,0.98,"The candidate changes [1] and [2] to source-key labels, duplicates 'Section' and 'Equation', and lists bibliography keys as bullets.",codex_researcher_b
AI137,137,none,major,moderate,moderate,minor,"Content is compressed onto page 1, leaving an orphaned bibliography tail on page 2.",0.96,The candidate moves the conclusion onto page 1 and leaves only the final citation line near the top of page 2.,codex_researcher_b
AI138,138,none,minor,minor,none,none,Prose sections are faithfully retained with mild compact reflow.,0.98,"Title, abstract, source metadata, and both prose extracts remain in order; the candidate block is slightly smaller and higher.",codex_researcher_b
AI139,139,moderate,major,moderate,major,major,A two-page algorithm is squeezed into one page with lost hierarchy and annotations.,0.99,"The reference's separate algorithm page, nested indentation, and right-side explanatory comments are compressed or absent in the candidate's single boxed block.",codex_researcher_b
AI140,140,major,major,major,major,major,Two structured tables become two pages of pipe-delimited raw text.,1.00,"The candidate replaces both table grids with dense line-wrapped field strings, making rows and columns unreadable and adding a page.",codex_researcher_b
AI141,141,major,major,major,none,major,All five mathematical structures are exposed as raw command text.,1.00,"The candidate displays backslash commands, array syntax, and brace-heavy source strings instead of rendered aligned expressions.",codex_researcher_b
AI142,142,moderate,major,major,none,major,Both mathematical tables suffer severe bottom-edge overlap.,0.99,"Candidate pages 2 and 3 collapse their final rows and captions into dense overlapping bands, obscuring expressions.",codex_researcher_b
AI143,143,minor,major,moderate,none,major,Table content is mostly present but bottom rows and captions overlap on two pages.,0.97,Candidate pages 2 and 3 show compressed grids with dark collisions at the lower margin that partially obscure rows and labels.,codex_researcher_b
AI144,144,none,minor,minor,none,none,Both numbered lists are faithfully reproduced with modest compaction.,0.98,All six roman-numbered items and their ordering remain visible; spacing and line breaks are slightly tighter.,codex_researcher_b
AI145,145,moderate,minor,minor,none,moderate,Citation numbering is replaced by source-key identifiers.,0.98,"The candidate cites [19] and [Horowitz] instead of [1] and [2], and bibliography entries use mixed numeric and key labels.",codex_researcher_b
AI146,146,major,major,major,major,major,Three table pages collapse into two pages of raw delimiter-separated values.,1.00,"The candidate removes both table grids, wraps numeric rows as dense pipe-delimited text, and changes the page count from three to two.",codex_researcher_b
AI147,147,none,minor,minor,none,none,All five formulas are rendered faithfully with mild compact reflow.,0.99,"Expression order, symbols, and grouping match visually; the candidate block is slightly smaller and higher.",codex_researcher_b
AI148,148,moderate,minor,minor,none,moderate,Citation labels and cross-reference wording are visibly altered.,0.99,The candidate changes [1] and [2] to [10] and [11] and duplicates both 'Section' and 'Equation' in the cross-reference sentence.,codex_researcher_b
AI149,149,none,moderate,moderate,none,moderate,Both tables are retained but use substantially different grid scale and typography.,0.94,"The candidate page 1 metrics grid is enlarged with heavy cell borders, while the page 2 parameter table is denser and differently proportioned.",codex_researcher_b
AI150,150,major,moderate,minor,none,moderate,Candidate inserts many specific mathematical expressions where the reference visibly contains placeholder prose.,0.97,"Throughout the abstract, introduction, method, and conclusion, literal 'math expression' placeholders are replaced by new symbols and formulas, changing visible content substantially.",codex_researcher_b
AI151,151,minor,major,moderate,none,major,Later-page tables have bottom collisions and altered density.,0.98,Candidate pages 2 and 3 compress rows into bordered grids and collapse the final rows and captions into overlapping lower bands.,codex_researcher_b
AI152,152,none,major,moderate,major,moderate,Three reference pages are consolidated into two with major table rescaling.,0.97,"The candidate places the first table on page 1 and the word-frequency table on page 2, eliminating a page and changing both tables' scale.",codex_researcher_b
AI153,153,minor,major,moderate,none,major,Both later tables end in overlapping bottom rows and captions.,0.98,"Candidate pages 2 and 3 reproduce the columns but collapse their lower content into dark, partially illegible bands.",codex_researcher_b
AI154,154,major,major,major,major,major,Two pages of aligned mathematics become one page of mostly plain text and a crude grid.,1.00,"Expressions 1 through 4 lose mathematical typesetting, expression 5 becomes a table, and the second reference page is eliminated.",codex_researcher_b
AI155,155,major,major,major,major,major,Three structured table pages become two pages of flattened raw values.,1.00,The candidate uses pipe-delimited line wrapping instead of row-and-column grids and reduces the document from three pages to two.,codex_researcher_b
AI156,156,major,major,major,major,major,Two pages of aligned formulas are compressed to one with several expressions flattened to text.,1.00,"Expressions 1, 3, and 4 appear as plain source-like strings, while all content is forced onto one page and the reference second page disappears.",codex_researcher_b
