blind_index,blind_sheet,sheet_position,case_id,changed_panel,visible_defect_axis,region_description,confidence,abstain,notes,reviewer
"184","46","4","3EE067D85F5F","A","content","Figure 1 placeholder","0.99","false","Black bar appears inside the figure placeholder in panel A.","codex_blind_reaudit_v1"
"185","47","1","35AE0BF3CD97","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"186","47","2","DCB348446C8C","B","content","Expression 2","0.99","false","Black bar occludes part of Expression 2 in panel B.","codex_blind_reaudit_v1"
"187","47","3","BF69D29000D6","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"188","47","4","4B9BBBBAE5DF","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"189","48","1","1961C683CFBE","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"190","48","2","016AA215C105","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"191","48","3","9C70DFEACE93","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"192","48","4","3F41BAB613C3","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"193","49","1","2E75E17AD31C","A","content","Figure 1 placeholder","0.99","false","Black bar appears inside the figure placeholder in panel A.","codex_blind_reaudit_v1"
"194","49","2","93BA98E4CC6E","B","content","Figure 2 placeholder","0.99","false","Black square appears inside the Figure 2 placeholder in panel B.","codex_blind_reaudit_v1"
"195","49","3","3CE5D34784B6","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"196","49","4","5B0E9ABD7056","B","content","Expression 2","0.99","false","Black bar occludes part of Expression 2 in panel B.","codex_blind_reaudit_v1"
"197","50","1","23CE03874B51","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"198","50","2","0DCC3B5AB08E","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"199","50","3","5E7814829994","B","content","Body paragraph of the letter","0.99","false","Black bar occludes part of the letter body in panel B.","codex_blind_reaudit_v1"
"200","50","4","0B2CDA15462E","A","content","Abstract","0.83","false","Panel A has a conspicuous missing span in an Abstract line.","codex_blind_reaudit_v1"
"201","51","1","36BD3A834786","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"202","51","2","A3F5E018E0C0","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"203","51","3","B235EFBA43F5","A","content","Final caption-summary sentence","0.99","false","Black bar occludes part of the final caption-summary sentence in panel A.","codex_blind_reaudit_v1"
"204","51","4","F427287B3757","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"205","52","1","7745C632E662","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"206","52","2","8175F76E3A30","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
"207","52","3","5E1CCF9CD3AD","B","content","Document title","0.99","false","Black bar occludes part of the document title in panel B.","codex_blind_reaudit_v1"
"208","52","4","B5ACC546839A","","unclear","No defensible region at audit resolution","0.35","true","Panels appear indistinguishable at the inspected audit resolution.","codex_blind_reaudit_v1"
